,uid
457,12475.0
458,12603.0
459,12585.0
460,12420.0
461,33940.0
462,26925.0
463,26944.0
464,4635.0
465,4703.0
466,3671.0
467,3706.0
468,33283.0
469,33325.0
470,32014.0
471,34549.0
472,34583.0
473,26568.0
474,26651.0
475,26413.0
476,26532.0
477,27008.0
478,27082.0
479,26195.0
480,26106.0
481,27313.0
482,27369.0
483,5757.0
484,5758.0
485,5761.0
486,5838.0
487,5839.0
488,5841.0
489,9847.0
490,9951.0
491,1455.0
492,1464.0
493,19466.0
494,19362.0
495,19250.0
496,15530.0
497,15580.0
498,3458.0
499,3585.0
500,3588.0
501,3467.0
502,3592.0
503,3476.0
504,3589.0
505,3492.0
506,3595.0
507,3498.0
508,3598.0
509,3499.0
510,3503.0
511,3602.0
512,3508.0
513,3605.0
514,3515.0
515,3610.0
516,3513.0
517,3616.0
518,3510.0
519,3623.0
520,3507.0
521,3631.0
522,3402.0
523,3553.0
524,3394.0
525,3542.0
526,3340.0
527,3523.0
528,3304.0
529,3462.0
530,3294.0
531,3406.0
532,3251.0
533,3358.0
534,3414.0
535,3565.0
536,3425.0
537,3568.0
538,3427.0
539,3569.0
540,3432.0
541,3574.0
542,3433.0
543,3581.0
544,9938.0
545,9987.0
546,9778.0
547,9808.0
548,21380.0
549,21487.0
550,18578.0
551,37830.0
552,37821.0
553,13393.0
554,13355.0
555,18247.0
556,5098.0
557,5030.0
558,22497.0
559,22614.0
560,3209.0
561,1948.0
562,2025.0
563,8669.0
564,8803.0
565,6076.0
566,6195.0
567,4523.0
568,4618.0
569,7660.0
570,16976.0
571,17036.0
572,17245.0
573,17193.0
574,14972.0
575,15010.0
576,14759.0
577,14834.0
578,15335.0
579,15395.0
580,15529.0
581,15575.0
582,15887.0
583,16136.0
584,16081.0
585,12643.0
586,12672.0
587,12531.0
588,12497.0
589,13103.0
590,12863.0
591,12915.0
592,13485.0
593,13521.0
594,13315.0
595,13375.0
596,13895.0
597,14036.0
598,13724.0
599,13899.0
600,14464.0
601,14508.0
602,14234.0
603,14289.0
604,11710.0
605,11758.0
606,11204.0
607,11240.0
608,11321.0
609,11329.0
610,11898.0
611,11938.0
612,12261.0
613,12319.0
614,12116.0
615,12141.0
616,9613.0
617,9645.0
618,9455.0
619,9494.0
620,10258.0
621,10304.0
622,10142.0
623,10188.0
624,10805.0
625,10674.0
626,10751.0
627,10875.0
628,11220.0
629,11278.0
630,11137.0
631,11118.0
632,23189.0
633,23373.0
634,15505.0
635,15949.0
636,16046.0
637,15709.0
638,15810.0
639,21920.0
640,36212.0
641,36219.0
642,36214.0
643,36335.0
644,14048.0
645,9146.0
646,9244.0
647,9416.0
648,9476.0
649,9010.0
650,9065.0
651,8998.0
652,8991.0
653,8976.0
654,9041.0
655,32411.0
656,32679.0
657,32690.0
658,23287.0
659,23159.0
660,13654.0
661,13720.0
662,1152.0
663,1163.0
664,2603.0
665,2802.0
666,4153.0
667,4195.0
668,4305.0
669,4336.0
670,5618.0
671,5654.0
672,5470.0
673,5495.0
674,5250.0
675,5102.0
676,5135.0
677,5156.0
678,5115.0
679,4986.0
680,5020.0
681,4795.0
682,4828.0
683,4623.0
684,4672.0
685,4653.0
686,6034.0
687,6171.0
688,6218.0
689,5572.0
690,5624.0
691,5726.0
692,5754.0
693,7688.0
694,7532.0
695,7571.0
696,7396.0
697,7429.0
698,7522.0
699,7558.0
700,7061.0
701,7109.0
702,7190.0
703,7241.0
704,7062.0
705,6911.0
706,6953.0
707,6725.0
708,6749.0
709,6585.0
710,6634.0
711,6457.0
712,6481.0
713,6614.0
714,6672.0
715,6161.0
716,6260.0
717,6296.0
718,8385.0
719,8328.0
720,8375.0
721,8229.0
722,8260.0
723,8074.0
724,8111.0
725,7956.0
726,7999.0
727,7949.0
728,7998.0
729,7834.0
730,7867.0
731,9175.0
732,9130.0
733,9027.0
734,9049.0
735,8860.0
736,8892.0
737,8766.0
738,8630.0
739,8757.0
740,8801.0
741,9300.0
742,9400.0
743,10450.0
744,10527.0
745,8776.0
746,8604.0
747,8572.0
748,8493.0
749,11853.0
750,11614.0
751,11640.0
752,11719.0
753,11751.0
754,11322.0
755,11359.0
756,11466.0
757,11495.0
758,11319.0
759,11385.0
760,11212.0
761,11243.0
762,10922.0
763,10815.0
764,10841.0
765,12135.0
766,12172.0
767,12046.0
768,12069.0
769,12226.0
770,12252.0
771,11911.0
772,11940.0
773,11805.0
774,11837.0
775,11599.0
776,11652.0
777,12248.0
778,12283.0
779,12132.0
780,12160.0
781,12519.0
782,12570.0
783,12427.0
784,12092.0
785,12059.0
786,13647.0
787,13707.0
788,12786.0
789,12825.0
790,13041.0
791,13085.0
792,13924.0
793,13981.0
794,13495.0
795,13582.0
796,13696.0
797,12440.0
798,12470.0
799,12524.0
800,12620.0
801,12663.0
802,7878.0
803,7954.0
804,7184.0
805,7299.0
806,6203.0
807,6257.0
808,6768.0
809,6787.0
810,999.0
811,1007.0
812,823.0
813,833.0
814,920.0
815,930.0
816,15933.0
817,15942.0
818,18365.0
819,18382.0
820,5462.0
821,5486.0
822,16994.0
823,17070.0
824,14491.0
825,14517.0
826,22924.0
827,22680.0
828,23013.0
829,23053.0
830,10225.0
831,10260.0
832,10570.0
833,10630.0
834,10856.0
835,10415.0
836,10469.0
837,9733.0
838,9883.0
839,9727.0
840,9761.0
841,9211.0
842,9107.0
843,6873.0
844,7074.0
845,7041.0
846,7181.0
847,7321.0
848,7262.0
849,7162.0
850,8167.0
851,5771.0
852,5825.0
853,6148.0
854,6193.0
855,5552.0
856,5631.0
857,6582.0
858,6647.0
859,6328.0
860,6341.0
861,6297.0
862,10421.0
863,10384.0
864,10409.0
865,10368.0
866,6306.0
867,6347.0
868,6119.0
869,6162.0
870,6170.0
871,7682.0
872,7729.0
873,7695.0
874,7730.0
875,7505.0
876,7560.0
877,7512.0
878,7568.0
879,7232.0
880,7286.0
881,7240.0
882,7291.0
883,7020.0
884,7087.0
885,7045.0
886,7106.0
887,6564.0
888,6630.0
889,7946.0
890,8002.0
891,6815.0
892,6765.0
893,6818.0
894,6774.0
895,8106.0
896,8142.0
897,8532.0
898,8484.0
899,8731.0
900,8783.0
901,8506.0
902,8538.0
903,8118.0
904,8152.0
905,8321.0
906,8369.0
907,7948.0
908,7994.0
909,8361.0
910,8316.0
911,8716.0
912,8806.0
913,8891.0
914,8948.0
915,8895.0
916,8932.0
917,9230.0
918,9265.0
919,9169.0
920,9201.0
921,9225.0
922,9144.0
923,9189.0
924,9495.0
925,9621.0
926,9666.0
927,9596.0
928,9673.0
929,9490.0
930,9547.0
931,9814.0
932,9877.0
933,9811.0
934,9840.0
935,9989.0
936,10015.0
937,9953.0
938,10014.0
939,10143.0
940,10193.0
941,10144.0
942,10175.0
943,10275.0
944,10348.0
945,10399.0
946,10472.0
947,10318.0
948,10350.0
949,10512.0
950,10542.0
951,10427.0
952,10659.0
953,10591.0
954,10778.0
955,10901.0
956,10983.0
957,10906.0
958,10957.0
959,11471.0
960,11528.0
961,11069.0
962,11131.0
963,11093.0
964,11122.0
965,11479.0
966,11672.0
967,11707.0
968,11649.0
969,11661.0
