i,j,len,width,slope,eid
5970,5979,2.6449122848153412,-1.0,0.0,0
5955,5970,2.893450024534877,-1.0,0.0,1
8605,8603,1.9154071720620505,-1.0,0.0,2
8605,8612,1.8769536081992104,-1.0,0.0,3
7768,7770,2.6547200541648794,-1.0,0.0,4
7704,7768,24.596013989548645,-1.0,0.116472877562046,5
7636,7704,28.845494643688824,-1.0,0.079452775418758,6
7619,7636,3.0088344036205563,-1.0,0.0,7
9830,9859,11.583836415378126,-1.0,0.296768039464951,8
10229,10250,9.118604310496153,-1.0,0.062835343182087,9
10172,10229,24.357052704232,-1.0,0.164661794900894,10
30998,31021,12.623777516248442,-1.0,0.36308366060257,11
30688,30710,10.176622074139457,-1.0,0.168896734714508,12
1444,1454,11.178158536395568,-1.0,7.54213285446167,13
1441,1444,3.121398350844141,-1.0,0.0,14
9762,9790,14.50739577387115,-1.0,4.885406017303467,17
8395,8405,2.6377587855267013,-1.0,0.0,18
8374,8395,4.583332581284622,-1.0,0.0,19
9046,9056,6.4664613156878215,-1.0,1.328826308250427,20
8670,8685,7.094588464057148,-1.0,0.646050691604614,21
8268,8278,5.275845407384445,-1.0,0.0,22
7849,7901,9.899924921727001,-1.0,0.057870741933584,23
6938,6948,3.441378254455634,-1.0,0.0,24
6948,6961,3.8892767529123335,-1.0,0.0,25
22558,22577,5.137346692524606,-1.0,0.0,26
22540,22558,3.9897831218064903,-1.0,0.0,27
23989,24017,8.404102437389984,-1.0,17.748918533325195,28
24422,24432,5.705844610131803,-1.0,0.0,29
25650,25743,31.776698595953906,-1.0,1.604318022727966,30
25857,25810,10.252311958917353,-1.0,21.796953201293945,31
26622,26639,5.50982539379951,-1.0,0.0,32
26693,26715,6.500358174802429,-1.0,31.091812133789062,33
27041,27056,4.344917043653051,-1.0,0.0,34
27115,27153,9.73877970458909,-1.0,0.176495671272278,35
3741,3718,8.205174459800176,-1.0,3.139152526855469,36
36844,36854,7.185383715181421,-1.0,5.248099327087402,37
37211,37216,11.236910594346371,-1.0,0.356916159391403,38
37203,37211,13.491949706009567,-1.0,0.467117130756378,39
37668,37680,11.995802051281336,-1.0,2.100631952285767,40
37655,37668,13.340575349098817,-1.0,2.8322913646698,41
37549,37553,13.24477011619945,-1.0,0.302818298339844,42
37539,37549,13.675569579787823,-1.0,0.754093766212463,43
37407,37415,12.390648610271409,-1.0,0.092484325170517,44
37400,37407,13.49546785232808,-1.0,0.042448434978724,45
19861,19962,24.354245206396286,-1.0,0.047051925212145,46
19861,19776,22.55138854356103,-1.0,0.050813462585211,47
19749,19776,4.41929020717921,-1.0,0.0,48
27661,27665,3.5300897745299036,-1.0,0.0,49
12038,12126,31.954270675422745,-1.0,4.313098430633545,50
12019,12105,33.359091126565524,-1.0,2.643144130706787,51
11915,12019,31.672814432031874,-1.0,3.090370893478394,52
11676,11764,28.996302554358035,-1.0,1.106404662132263,53
11675,11709,9.806604956582492,-1.0,0.408973962068558,54
11348,11380,6.61591043665574,-1.0,0.952546536922455,55
31945,31999,14.616373803350228,-1.0,0.195994839072227,58
37270,37276,11.77974180189017,-1.0,0.145920753479004,59
37262,37270,12.946528343878391,-1.0,0.309785574674606,60
10710,10747,11.18240820114584,-1.0,0.102474637329578,61
3013,3149,59.71477782013712,-1.0,0.374195486307144,62
21675,21714,26.187340406881745,-1.0,0.721974849700928,63
22721,22931,37.76802005289591,-1.0,0.288236141204834,64
22593,22765,40.49169058605774,-1.0,0.113199815154076,65
32179,32221,11.678498609650118,-1.0,2.353596925735474,66
35351,35379,11.144802283862798,-1.0,9.924531936645508,67
29721,29744,7.61426549594986,-1.0,6.592606067657471,68
30071,30110,14.813524384068325,-1.0,1.276170611381531,69
24089,24105,7.448139473282,-1.0,11.608231544494629,70
12155,12187,11.113957712712196,-1.0,2.678823947906494,71
29735,29753,8.213283215993288,-1.0,0.488252103328705,72
25524,25535,3.577734591045136,-1.0,0.0,73
25258,25277,7.878369871859075,-1.0,1.672178626060486,74
25292,25306,8.45691658906025,-1.0,2.640382766723633,75
25607,25628,5.971147529291715,-1.0,0.0,76
25341,25384,8.272329989265,-1.0,3.872743844985962,77
26097,26120,8.881423757351644,-1.0,0.0,78
25926,25939,4.364179631768993,-1.0,0.0,79
25457,25498,7.51442703084841,-1.0,0.533657968044281,80
25511,25538,5.85328895743218,-1.0,0.0,81
25943,25964,7.9503011474852885,-1.0,2.232941627502441,82
9753,9765,6.971508646315479,-1.0,0.657455444335938,83
9786,9812,9.322063971434915,-1.0,0.0,84
9986,10006,6.803685161233134,-1.0,0.0,85
10021,10044,8.925526896282623,-1.0,0.641907215118408,86
10137,10202,18.921386019279847,-1.0,0.90835040807724,87
10062,10103,18.51842390230656,-1.0,0.402215123176575,88
10140,10220,43.75545026049696,-1.0,1.125986814498901,89
9678,9718,22.08551874102028,-1.0,2.255845069885254,90
9930,9962,21.782836322037898,-1.0,0.710145533084869,91
9738,9779,16.537123445635142,-1.0,1.385602355003357,92
9559,9584,10.14821717415427,-1.0,0.112920351326466,93
